"treeID","Z","npoints","convhull_area","area","perimeter","max_area_conifer_drone","avg_area_conifer_drone","max_perimeter_conifer_drone","avg_perimeter_conifer_drone","crown_diameter_hull_conifer_drone","AGB_conifer_drone"
8829,5.9816,159,2.525,2.52493738495104,6.36479079852528,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,6.36479079852528,81.4788051696203
8830,5.981,111,1.484,1.48441931500565,4.94427229858311,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,4.94427229858311,51.8365790547312
8851,5.9307,164,1.085,1.08467446996656,4.64527329780081,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,4.64527329780081,45.6644046174698
8876,5.8406,2818,56.66,56.660169959534,31.59111295608,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,31.59111295608,1373.87760247772
8926,0,17,0.209,0.208553345000837,2.01363744950932,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,2.01363744950932,0
8970,5.5894,481,13.567,13.5671845800243,14.1826363401517,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,14.1826363401517,302.828417464644
8977,5.5762,706,15.214,15.2142284802394,14.919142309474,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,14.919142309474,330.152887668735
8983,5.558,618,18.325,18.3245938947075,17.1761857961042,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,17.1761857961042,422.367993861376
9008,5.5008,215,2.173,2.17250294983387,6.15739656947614,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,6.15739656947614,66.0923356045677
9011,5.492,818,15.671,15.6709134205012,15.9923907013193,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,15.9923907013193,363.823360544627
9031,5.4285,1540,45.563,45.5626990797464,27.6979527786216,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,27.6979527786216,952.414968330305
9035,5.4209,2773,50.525,50.5247065046569,32.7547323473836,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,32.7547323473836,1282.61502051118
9040,5.4103,1399,20.246,20.2460171204293,19.1572115733,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,19.1572115733,489.33804823435
9060,0,1894,47.494,47.4936498344177,28.440862533745,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,28.440862533745,0
9080,5.3023,168,3.961,3.96086558996467,8.20573562819869,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,8.20573562819869,103.473566104784
9099,5.2519,1433,8.964,8.96368757000891,11.5807201596716,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,11.5807201596716,188.460818222423
9107,5.2275,251,3.385,3.38540639507119,7.45794822247828,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,7.45794822247828,85.0164487981993
9120,5.17,325,6.25,6.25019461993361,9.23425862314963,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,9.23425862314963,122.175936565887
9151,5.0779,939,20.367,20.3666616402334,17.3183184471184,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,17.3183184471184,364.642951480648
9155,5.0688,199,4.383,4.38279318995774,7.98814229047574,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,7.98814229047574,90.9758582032356
9184,4.9994,1190,17.412,17.4116522449767,15.3953026069007,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,15.3953026069007,287.24727107119
9207,4.9447,2952,61.869,61.8689008695656,30.2955945195409,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,30.2955945195409,946.123302644908
9214,4.9248,128,3.131,3.1310317098978,6.76507766809549,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,6.76507766809549,64.1699711348649
9228,4.8961,691,11.038,11.0382529001217,12.5122682425881,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,12.5122682425881,190.911235295668
9240,4.86,1054,16.715,16.715444670408,15.1929313915075,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,15.1929313915075,266.676845179091
9255,4.8309,499,3.915,3.91503819974605,7.3969297536916,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,7.3969297536916,72.7411804843862
9287,4.7403,497,6.697,6.69689367513638,10.4220922253932,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,10.4220922253932,129.897169767477
9296,4.7181,787,22.756,22.7558567292872,17.7751888255923,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,17.7751888255923,334.94893934583
9297,4.7133,1302,19.435,19.4347211850109,17.6870144195687,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,17.6870144195687,331.37632114976
9302,4.7069,546,6.83,6.82991298002889,10.1807720942824,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,10.1807720942824,122.996016053778
9330,4.6303,789,21.628,21.6283835849426,19.4125543018532,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,19.4125543018532,379.206969831391
9371,4.5395,51,0.882,0.882435720122885,3.9615763935572,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,3.9615763935572,21.2811995469617
9384,0,78,1.292,1.2924188500765,5.18295240861508,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,5.18295240861508,0
9387,4.5044,162,5.836,5.83594768506009,9.91926828219688,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,9.91926828219688,108.511721682632
9404,4.4576,3775,93.947,93.9471826194786,36.7093107531308,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,36.7093107531308,1108.17507156356
9426,4.3973,669,9.923,9.92327115504304,11.716449432488,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,11.716449432488,140.028345114529
